ID,TITLE,OVERAL RANK,MEAN SCORE
37171,Asobi Asobase,428,8.19
16742,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,4552,6.99
934,Higurashi no Naku Koro ni,929,7.87
1,Cowboy Bebop,46,8.75
51122,Ookami to Koushinryou: Merchant Meets the Wise Wolf,530,8.11
50002,Edens Zero 2nd Season,2300,7.43
50184,Seiken Gakuin no Makentsukai,9022,6.2
50197,"Ijiranaide, Nagatoro-san 2nd Attack",2242,7.45
50220,Isekai Shoukan wa Nidome desu,11840,5.67
50307,Tonikaku Kawaii 2nd Season,1575,7.62
50416,Skip to Loafer,532,8.11
50583,Buta no Liver wa Kanetsu Shiro,8523,6.29
50739,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,972,7.85
50796,Kimi wa Houkago Insomnia,567,8.08
51009,Jujutsu Kaisen 2nd Season,49,8.73
51020,Helck,3006,7.28
51105,NieR:Automata Ver1.1a,1862,7.54
51219,Isekai One Turn Kill Neesan: Ane Douhan no Isekai Seikatsu Hajimemashita,8376,6.31
51297,Ragna Crimson,1847,7.55
51458,Lv1 Maou to One Room Yuusha,3803,7.14
51498,Masamune-kun no Revenge R,3290,7.23
51552,Watashi no Shiawase na Kekkon,1327,7.7
51614,Ao no Orchestra,3675,7.16
51705,Otonari ni Ginga,3728,7.15
51764,Level 1 dakedo Unique Skill de Saikyou desu,8985,6.21
51794,Nanatsu no Taizai: Mokushiroku no Yonkishi,3198,7.25
51815,Kubo-san wa Mob wo Yurusanai,1838,7.55
51916,Dekiru Neko wa Kyou mo Yuuutsu,1506,7.64
51958,Kono Subarashii Sekai ni Bakuen wo!,1974,7.51
52081,Edomae Elf,3167,7.25
52082,Shiro Seijo to Kuro Bokushi,2544,7.37
52173,Koori Zokusei Danshi to Cool na Douryou Joshi,2870,7.31
52214,Genjitsu no Yohane: Sunshine in the Mirror,5231,6.85
52305,Tomo-chan wa Onnanoko!,1247,7.73
52308,Kanojo ga Koushaku-tei ni Itta Riyuu,1906,7.53
52359,Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,5573,6.78
52505,Dark Gathering,991,7.84
52578,Boku no Kokoro no Yabai Yatsu,389,8.22
52611,Okashi na Tensei,6032,6.7
52701,Dungeon Meshi,104,8.6
52830,"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta",8188,6.34
52934,"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu",3716,7.15
52962,"Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru, Hime no Tensei Gyakuten Story",3476,7.2
52969,"Jitsu wa Ore, Saikyou deshita?",7446,6.47
52973,Megami no Café Terrace,2875,7.31
53012,Human Bug Daigaku,6180,6.68
53026,Synduality: Noir,5301,6.83
53033,Mecha-ude (TV),5488,6.8
53126,Yamada-kun to Lv999 no Koi wo Suru,1160,7.77
53263,"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi",3981,7.11
53379,Uchi no Kaisha no Chiisai Senpai no Hanashi,4968,6.9
53621,Jijou wo Shiranai Tenkousei ga Guigui Kuru.,1969,7.51
53632,Yumemiru Danshi wa Genjitsushugisha,6523,6.62
53633,Bullbuster,9220,6.17
53770,Sentai Daishikkaku,2839,7.31
53865,Yozakura-san Chi no Daisakusen,1745,7.57
54103,Hikikomari Kyuuketsuki no Monmon,3795,7.14
54234,Suki na Ko ga Megane wo Wasureta,3739,7.15
54259,Rokudou no Onna-tachi,7792,6.41
54431,Toaru Ossan no VRMMO Katsudouki,7955,6.39
54492,Kusuriya no Hitorigoto,25,8.86
54744,Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,1741,7.57
54760,Ryza no Atelier: Tokoyami no Joou to Himitsu no Kakurega,7793,6.41
54852,Kikansha no Mahou wa Tokubetsu desu,4189,7.06
54856,Horimiya: Piece,492,8.14
55071,Amagami-san Chi no Enmusubi,1815,7.55
55651,Tonikaku Kawaii: Joshikou-hen,1166,7.76
55894,Bokura no Ame-iro Protocol,9746,6.08
56228,Rekishi ni Nokoru Akujo ni Naru zo,2751,7.33
