ANIME ID,GENRE ID
37171,6
16742,6
934,11
934,12
934,18
1,1
1,4
1,14
51122,2
51122,7
51122,13
51122,17
50002,1
50002,2
50002,8
50002,14
50184,1
50184,8
50197,6
50197,13
50220,2
50220,6
50220,8
50220,13
50307,6
50307,13
50416,7
50583,2
50583,8
50739,13
50796,13
51009,1
51009,17
51020,1
51020,8
51105,1
51105,8
51105,14
51219,6
51219,8
51297,1
51297,8
51458,6
51458,8
51498,6
51498,13
51552,7
51552,8
51552,13
51614,7
51705,13
51705,17
51764,2
51764,8
51794,1
51794,2
51794,8
51815,6
51815,13
51916,6
51958,6
51958,8
52081,6
52081,17
52082,8
52082,13
52173,6
52173,8
52173,13
52214,8
52305,6
52305,13
52308,8
52308,13
52359,2
52359,8
52505,11
52505,17
52578,6
52578,13
52611,8
52701,2
52701,6
52701,8
52701,10
52830,1
52830,2
52830,8
52934,6
52934,8
52934,13
52962,6
52969,2
52969,8
52973,6
52973,19
52973,13
53012,6
53012,12
53026,1
53026,14
53033,1
53033,14
53126,13
53263,2
53263,6
53263,8
53379,6
53379,13
53621,6
53621,13
53632,6
53632,13
53633,1
53633,14
53770,1
53770,8
53865,1
53865,6
54103,6
54103,8
54234,6
54234,13
54259,6
54259,13
54431,1
54431,2
54431,6
54431,8
54492,7
54492,12
54744,6
54744,13
54760,2
54760,8
54852,1
54852,8
54856,13
55071,6
55071,13
55071,17
55651,6
55651,13
55894,1
56228,6
56228,8
56228,13
56230,6
56230,13
56230,17
56838,6
56838,13
56838,17
56843,6
56843,13
57181,13
57181,16
57559,7
57891,1
57891,2
57891,8
58080,1
58172,1
58172,2
58172,8
58511,1
58511,2
58511,8
59505,11
59505,12
60489,7
60489,14
49778,1
49778,2
49778,8
49818,1
49818,8
49818,12
49818,18
50306,1
50306,2
50306,8
50306,13
50694,13
50695,7
50803,7
50803,13
51461,7
51461,8
52080,6
52080,13
52215,7
52347,1
52347,2
52347,8
52367,2
52367,6
52367,8
52481,13
52588,1
52588,8
52588,14
52709,6
52709,13
52741,1
52741,6
52816,1
52816,8
52985,6
52985,8
52990,13
53065,13
53128,7
53128,13
53128,14
53300,13
53397,2
53397,8
53410,15
53421,6
53421,13
53434,1
53434,8
53434,13
38853,1
38853,14
10087,1
10087,8
35968,6
35968,13
40748,1
40748,4
40748,17
47917,6
53446,2
53446,6
53446,8
53446,10
57181,13
57181,16
59160,1
59845,7
59845,13
60543,1
60543,6
60543,17
1210,6
1210,7
1210,13
2605,6
7785,4
7785,6
7785,12
7785,13
7785,18
19703,1
19703,8
49387,1
49387,2
49387,7
51122,2
51122,7
51122,13
51122,17
51461,7
51461,8
9253,7
9253,14
9253,18
39196,6
39196,8
46095,1
46095,14
46095,18
47194,12
47194,17
47194,18
48414,1
48414,2
48414,8
48414,14
50185,16
51458,6
51458,8
52193,1
52193,6
52741,1
52741,6
53447,1
53770,1
53770,8
54301,7
54714,6
54714,13
54790,8
54790,12
55528,1
55528,6
55528,14
55887,13
57181,13
57181,16
58390,13
58390,17
58812,1
58812,2
58913,11
58913,12
58913,17
59267,1
59267,12
38192,1
38192,2
38192,14
41025,2
41025,7
41025,17
48316,1
48316,6
48316,8
48981,1
48981,18
49040,1
49040,2
49040,6
49040,12
52211,1
52211,6
52211,8
52347,1
52347,2
52347,8
53613,1
53613,8
54853,1
54853,8
54853,14
56964,13
58600,12
59062,1
59062,8
59205,1
59205,8
59597,6
59597,8
40833,6
40908,1
40908,12
40908,17
41457,1
41457,7
41457,14
46569,1
46569,2
46569,17
48556,1
48556,8
48556,14
21,1
21,2
21,8
66,6
237,1
237,2
237,7
237,13
237,14
263,16
306,4
306,6
306,19
306,8
324,1
324,6
324,14
329,4
329,7
329,13
329,14
1048,11
1048,17
1453,6
1453,7
1453,13
2164,2
2164,4
2164,7
2164,12
2164,14
2246,11
2246,12
2246,17
2246,18
4981,1
4981,2
4981,7
4981,14
9941,1
9941,6
9941,12
9941,14
21939,2
21939,12
21939,15
21939,17
35249,16
35737,1
35737,12
35737,14
35737,18
42192,1
42192,2
42192,8
42192,14
49052,16
53199,1
53199,14
53720,7
53720,13
53720,14
53720,17
53720,18
58883,7
58883,14
58939,1
58939,6
59636,7
59636,16
21,1
21,2
21,8
2039,6
2389,1
2389,2
2389,14
103,2
103,6
103,8
103,13
1486,6
1486,7
1486,13
949,1
949,4
949,6
949,7
949,14
52299,1
52299,2
52299,8
54437,1
54437,2
54437,8
55701,1
55701,17
59062,1
59062,8
60697,7
60697,10
51009,1
51009,17
51818,1
51818,8
51818,14
53447,1
54789,1
54869,1
54869,8
58811,1
58811,8
58913,11
58913,12
58913,17
59177,1
59177,8
59177,14
60732,2
60732,8
52991,2
52991,7
52991,8
54856,13
55866,13
60988,1
60988,2
60988,7
60988,8
269,1
269,2
269,17
55791,7
58514,7
58514,12
31741,1
31741,2
31741,8
55742,7
55742,8
55742,13
57181,13
57181,16
54869,1
54869,8
57533,6
57533,8
56964,13
37430,1
37430,6
37430,8
170,16
387,7
387,8
387,12
392,1
392,17
457,2
457,12
457,15
457,17
2025,1
2025,12
2159,16
2251,1
2251,12
2251,17
7674,6
7674,7
7674,13
10721,3
10721,7
10721,12
10721,17
10721,18
14813,6
14813,13
16918,6
21603,7
21603,12
21603,14
21743,1
21743,17
22789,15
25839,10
25839,13
28999,7
30230,16
32948,4
32948,7
32948,13
33018,1
33018,8
33337,7
33337,12
36864,6
36864,13
37259,16
37965,7
37965,16
38080,7
44074,7
44074,12
44074,18
49785,1
49785,2
49785,8
50796,13
52173,6
52173,8
52173,13
52701,2
52701,6
52701,8
52701,10
53865,1
53865,6
53912,6
53912,7
54724,2
54724,6
54865,16
54900,1
55813,1
55813,6
55813,8
55998,13
55998,17
56038,1
56038,18
56285,1
56285,14
56420,2
56420,8
56647,1
56843,6
56843,13
57031,13
57031,17
57334,1
57334,6
57334,17
57554,1
57796,7
57796,18
57947,6
57947,17
58059,1
58059,8
58600,12
58811,1
58811,8
58812,1
58812,2
59160,1
59361,6
59361,13
59597,6
59597,8
60083,12
60083,13
60083,14
60146,8
40956,1
40956,8
40956,14
53065,13
58390,13
58390,17
58812,1
58812,2
59177,1
59177,8
59177,14
59597,6
59597,8
59898,6
60285,1
60285,6
60543,1
60543,6
60543,17
21,1
21,2
21,8
235,2
235,6
235,12
1425,1
1425,2
1425,6
1425,12
58390,13
58390,17
58812,1
58812,2
59597,6
59597,8
56038,1
56038,18
58939,1
58939,6
59062,1
59062,8
59342,6
59342,11
59342,17
59898,6
60543,1
60543,6
60543,17
59207,6
59207,13
604,6
604,7
604,13
53065,13
59845,7
59845,13
60543,1
60543,6
60543,17
61322,2
61322,6
61322,14
21,1
21,2
21,8
30,1
30,3
30,4
30,7
30,14
30,18
53065,13
57433,7
57433,13
57433,17
58390,13
58390,17
58811,1
58811,8
58913,11
58913,12
58913,17
59062,1
59062,8
59177,1
59177,8
59177,14
59205,1
59205,8
59342,6
59342,11
59342,17
60543,1
60543,6
60543,17
5041,2
5041,8
53512,6
53512,13
235,2
235,6
235,12
58913,11
58913,12
58913,17
49778,1
49778,2
49778,8
55830,1
55830,8
54865,16
56647,1
57181,13
57181,16
57554,1
57635,6
57635,12
58514,7
58514,12
59189,1
59189,8
51870,6
62373,15
243,5
243,6
365,5
365,6
365,12
437,3
437,4
437,7
437,11
437,18
553,5
553,8
553,11
553,12
622,7
622,13
622,14
752,5
752,7
850,5
850,6
850,7
1019,1
1019,5
1019,7
1019,17
1216,5
1216,7
1217,5
1217,6
1217,7
1637,5
1637,7
1640,5
1640,7
1640,8
1640,14
1640,17
1908,5
1908,7
1912,5
2179,7
2179,13
2219,3
2219,5
2219,7
2219,17
7058,2
7058,5
7058,7
7058,17
10564,1
10564,6
10564,21
12695,5
31680,5
31680,6
31680,7
33050,1
33050,8
33654,5
33654,7
35798,1
35798,4
35798,7
35798,12
37207,7
37207,13
37208,1
37208,2
37208,7
37208,8
37208,12
37597,5
37597,6
37597,7
39764,1
39764,6
39764,7
39764,12
41094,2
41094,6
41094,8
49320,1
49320,12
49665,7
49818,1
49818,8
49818,12
49818,18
50694,13
51549,7
53540,1
53540,12
55255,7
55255,14
55255,18
56038,1
56038,18
56165,6
56165,16
56785,12
58717,1
58957,12
58957,13
59597,6
59597,8
60130,15
60131,6
60562,2
60562,12
60562,17
60593,1
49778,1
49778,2
49778,8
49818,1
49818,8
49818,12
49818,18
50694,13
53065,13
53447,1
58913,11
58913,12
58913,17
59062,1
59062,8
59177,1
59177,8
59177,14
59207,6
59207,13
59277,6
59277,13
59459,8
59597,6
59597,8
59845,7
59845,13
60285,1
60285,6
60543,1
60543,6
60543,17
60131,6
548,1
548,7
548,13
548,14
2596,12
2596,17
2596,18
58913,11
58913,12
58913,17
690,1
690,7
690,11
690,17
812,2
812,7
812,14
1482,1
1482,2
1482,8
58197,1
58197,11
58197,18
60130,15
1377,7
1377,14
907,6
21,1
21,2
21,8
1765,17
6787,1
6787,7
6787,8
7598,12
7598,14
7598,18
10191,6
10191,14
15045,7
15045,11
15045,13
37208,1
37208,2
37208,7
37208,8
37208,12
37904,10
37904,15
43692,6
55255,7
55255,14
55255,18
58390,13
58390,17
50694,13
53065,13
59207,6
59207,13
59986,6
60543,1
60543,6
60543,17
22043,1
22043,2
22043,8
56693,6
56693,7
56693,13
59205,1
59205,8
59402,6
59402,13
59597,6
59597,8
59689,6
59689,13
59130,2
59130,8
59424,2
59424,8
60665,15
60951,1
60951,6
60951,8
58197,1
58197,11
58197,18
60557,1
60557,2
60557,8
2076,12
14753,13
23301,1
23301,2
23301,6
23301,8
30370,2
30370,8
39730,10
39730,15
60108,1
60108,2
60108,8
51836,1
51836,2
51836,8
10033,1
10033,2
10033,6
10033,8
10033,10
1,1
1,4
1,14
27,1
27,8
27,14
28,6
28,10
251,2
251,6
251,8
263,16
544,1
544,2
544,14
617,1
617,2
617,8
617,11
617,13
678,1
678,2
678,7
678,8
795,7
795,9
1409,14
1409,16
1410,1
1410,14
1457,1
1457,4
1457,7
1457,14
1470,1
1470,6
1470,12
1535,17
1535,18
1550,7
1550,16
1589,7
1589,10
1735,1
1735,2
1735,8
1860,1
1860,7
1860,11
1860,17
2596,12
2596,17
2596,18
2931,12
2931,15
2931,17
3270,1
3270,7
3270,14
5220,1
5220,7
5220,14
9062,6
9062,8
12119,15
12119,17
13163,17
13601,1
13601,12
13601,14
13601,18
14227,6
14227,13
17729,7
17729,13
17729,18
19775,1
19775,14
21879,6
22043,1
22043,2
22043,8
22057,6
22057,13
22057,17
23311,1
23311,8
23579,13
23605,1
24701,2
24701,12
24701,15
24701,17
24821,15
25867,1
25867,2
25867,14
26165,3
26165,7
26165,19
26165,8
26165,9
27899,1
27899,8
27899,11
27899,18
27945,6
27945,13
27945,17
31234,6
33089,2
33089,4
33089,6
33089,8
34572,1
34572,8
34604,1
34604,8
34604,14
34855,6
34855,17
36029,1
36029,2
36029,8
38909,1
38909,2
38909,8
41409,1
41409,7
41409,8
51289,1
51289,2
51289,14
51335,1
51335,2
51335,8
55655,1
55655,2
55655,8
55809,1
55809,2
55809,8
339,3
339,4
339,7
339,12
339,14
339,17
339,18
6746,1
6746,12
6746,17
20787,1
20787,12
20787,14
30503,1
30503,17
53924,17
355,1
355,7
355,8
355,13
918,1
918,6
918,14
35120,1
35120,3
35120,11
35120,17
38656,1
38656,12
38656,18
47794,18
173,12
173,17
3407,1
3407,7
3407,14
4081,15
4081,17
10620,1
10620,17
10620,18
24439,1
24439,8
59160,1
53447,1
59062,1
59062,8
60543,1
60543,6
60543,17
877,7
877,13
24765,11
24765,12
24765,15
24765,18
1852,15
1887,6
4181,7
4181,13
1869,6
1869,7
1869,13
1126,14
1126,15
1942,2
1942,14
18689,16
19671,6
19671,16
22265,16
32542,6
39533,5
39533,7
44074,7
44074,12
44074,18
54617,8
54617,15
59160,1
1313,1
1313,2
1313,6
1313,8
10721,3
10721,7
10721,12
10721,17
10721,18
37991,1
37991,2
50172,1
50172,6
50172,17
534,1
534,2
534,6
534,8
19365,1
19365,6
32483,16
32608,1
32608,2
32608,8
34086,1
34086,2
34086,8
37584,1
37962,7
38671,1
38671,8
38671,14
42249,1
42249,7
46352,7
48567,17
49154,1
49154,8
481,1
481,2
481,8
19257,6
20583,16
27727,6
27727,8
33113,2
33113,13
33113,14
37426,1
37426,17
45665,1
45665,8
45665,15
48580,1
48580,8
48580,12
49918,1
32696,6
32696,17
32697,6
32697,8
33222,6
33255,6
49515,1
49515,2
49515,6
49515,8
5114,1
5114,2
5114,7
5114,8
9539,1
13261,16
20899,1
20899,2
21439,6
21439,13
22297,1
22297,8
23199,1
23199,12
23199,17
24405,1
24405,14
24415,16
25517,2
25517,6
25517,13
28171,19
28171,10
28927,1
28927,7
28927,8
30714,6
30714,17
31741,1
31741,2
31741,8
32093,15
33966,2
33966,8
34368,7
34368,12
34368,17
34451,1
34451,8
34543,7
34543,16
34572,1
34572,8
34863,1
34863,6
34863,8
35067,6
36029,1
36029,2
36029,8
37496,1
37496,6
37496,12
37496,14
37571,1
39527,16
40060,1
40060,8
40075,12
40075,13
40075,14
40267,15
40267,16
40506,8
40906,1
40906,2
40906,8
41074,1
41074,2
41074,6
41074,8
41120,12
41762,6
41762,8
41834,1
41834,2
41834,8
42205,1
42205,2
42205,17
42822,12
42822,17
42825,1
43591,6
44387,5
44387,7
44387,11
44387,12
44387,17
46118,16
48406,16
50287,6
50287,8
53132,15
53199,1
53199,14
54301,7
57592,2
57592,6
57592,14
58516,1
58516,17
962,14
962,15
2129,7
2129,13
2926,7
2926,13
2966,2
2966,7
2966,13
2966,17
3297,14
3297,15
3299,7
3299,13
3299,17
4896,11
4896,12
4896,17
4896,18
6547,7
6547,8
8074,1
8074,19
8074,11
8074,18
8676,13
8915,1
8915,12
8915,17
9253,7
9253,14
9253,18
11757,1
11757,2
11757,8
11757,13
13759,7
13759,13
14075,1
14075,7
14075,8
14075,12
14749,6
14749,13
14829,1
14829,6
16782,4
16782,7
16782,13
17549,15
17729,7
17729,13
17729,18
17895,7
17895,13
19815,6
19815,19
19815,8
20031,6
20785,1
20785,8
20785,13
