anime_id,title,studio,promo_link,overal_rank,mean_score,avg_sentiment_score,positive_keywords,negative_keywords
1,Cowboy Bebop,Sunrise,https://www.youtube.com/embed/gY5nDXOtv_o?enablejsapi=1&wmode=opaque&autoplay=1,47,9,0.1654,"qualities, shows, characters, backstories, music","blanche, attempt"
5,Cowboy Bebop: Tengoku no Tobira,,,217,8,,,
6,Trigun,Madhouse,https://www.youtube.com/embed/bJVyIXeUznY?enablejsapi=1&wmode=opaque&autoplay=1,379,8,0.1470,"character, idea, superhero, gunslinger, popularity","gunman, models, aspects, guys, ones"
7,Witch Hunter Robin,Sunrise,https://www.youtube.com/embed/7UkaILjPk8M?enablejsapi=1&wmode=opaque&autoplay=1,3308,7,0.1050,"truth, anime, base, twists, ending","anime, studies, hunts, expressions"
8,Bouken Ou Beet,Toei Animation,,4836,7,0.2370,"characters, touch, effort",
15,Eyeshield 21,Gallop,,836,8,0.1305,"anime, job, friendship, animes, actors","animation, day, features, anime"
16,Hachimitsu to Clover,J.C.Staff,https://www.youtube.com/embed/6TN4a0kZuXg?enablejsapi=1&wmode=opaque&autoplay=1,717,8,0.1827,"story, reviews, trait, humor, feeling","take, codependent, music, woman, feelings"
17,Hungry Heart: Wild Striker,Nippon Animation,,1886,8,0.2034,"anime, sports, brother, points, cast",elements
18,Initial D Fourth Stage,A.C.G.T.,,452,8,0.1664,"face, quality, drivers, driver, ones",characters
19,Monster,Madhouse,,23,9,0.1233,"anime, hype, neurosurgeon, singer, murder","subjects, tale, score, information, holes"
20,Naruto,Studio Pierrot,,680,8,0.1101,"watchers, anime, shows, word, arc","anime, arc, excuse, ever&quot, naruto"
21,One Piece,Toei Animation,https://www.youtube.com/embed/-tviZNY6CSw?enablejsapi=1&wmode=opaque&autoplay=1,52,9,0.2073,"adventures, anime, shounen, treasure, art","luck, reason, ass"
22,Tennis no Oujisama,Trans Arts,,980,8,0.2458,"anime, player, manga, game, feeling","feeling, challenges"
23,Ring ni Kakero 1,,,8186,6,,,
24,School Rumble,Studio Comet,https://www.youtube.com/embed/0Uv3_zjM448?enablejsapi=1&wmode=opaque&autoplay=1,887,8,0.1423,"anime, comedy, laugh, girls, design","storylines, character, person, experience, lead"
