animeid,englishtitle,haveenglishtitle,synopsis
34223,,No,"A beautiful nation, prospering since ancient times, Japan is now known as the Anime Kingdom. There are more than just humans living there; animes truly do exist in Japan. Past the Fairy Ring, to the world of fairies, live anime-chans. There's a Fairy Ring in your town, too. Here. And there. Even in Harajuku. Maybe even in the Ashigara mountains. By some chance, we'll open that door. And we might get to meet the anime-chans. This is the land where you get to meet anime-chans.

(Source: Crunchyroll)"
34240,Shelter,Yes,"Day 2539: Rin wakes up alone again with blurred memories and still no contact from any other human. She is not bored, however, because in her arms lies a tablet capable of creating any world her heart desires. Day after day, Rin crafts a wonderful reality—one utopia at a time—to shelter her from loneliness, hoping to one day reveal the truth behind her very existence.

[Written by MAL Rewrite]"
34243,,No,"Music clips of Miss Monochrome featuring completely new animation.

1. Poker Face
2. 「?」
3. Watashi dake no Monogatari
4. Never Ending Story
5. Black or White?
6. Step by Step!
7. One Week
8. Monochrome
9. Vanilla Salt
10. Coloring
11. Yahho!
12. Try Again
13. Kimi to Boku
14. White Xmas
15. Candy Parade"
34257,THE IDOLM@STER CINDERELLA GIRLS Theater,Yes,"The girls of 346 Productions are back in this bite-sized look at their personal lives! Follow the idols of the Cinderella Project as they take a break from their hectic routine and instead go on vacations, eat at restaurants, and partake in other cheerful activities. Whether their faithful producer is along for the ride or just their fellow idols, everyone knows how to make the most of their days off.

Departing from its regular format,  is composed of several skits packed into shorter three-minute episodes, focusing on one or more characters at a time.

[Written by MAL Rewrite]"
34262,The Royal Tutor,Yes,"Equally charming and stern, Heine Wittgenstein is a brilliant man who commands respect, despite his short, childlike stature. Thus, the king of Grannzreich has called upon Heine to undertake a daunting task that has driven away many before him—become the new royal tutor to four princes who are in line for the throne.

The four heirs each have very distinct and troublesome personalities: Licht, the flirtatious youngest prince; his immature older brother, Leonhard; Bruno, the studious third prince; and Kai, the oldest of the four and the most reserved. Hilarity ensues as Heine attempts to connect with each of the princes in order to groom them for the throne. However, Heine's mysterious past and dark undercurrents in the present may threaten the harmony within the kingdom.

[Written by MAL Rewrite]"
34279,Record of Grancrest War,Yes,"The continent of Atlatan once again finds itself devoured by the flames of war after a horrific event known as the Great Hall Tragedy. What was supposed to be a joyful occasion that would establish peace between the Fantasia Union and the Factory Alliance, the marriage of Sir Alexis Douse and Lady Marrine Kreische, was instead a tragedy. As the bride and groom walked down the aisle, the ceremony was suddenly interrupted by a powerful convergence of ""Chaos,"" a dark energy from another dimension that corrupts the land and brings forth monsters and demons into the world. From within that energy appeared the Demon Lord of Diabolos, an evil being who instantly murdered the archdukes of both factions, shattering any hope for peace between them.
 
Having failed to prevent this disaster, Siluca Meletes, an Alliance mage, is traveling through the Chaos-infested countryside to study under a master magician. When she is intercepted by a group of soldiers working with the Federation, Siluca is rescued by Theo Cornaro, a young warrior carrying a mysterious ""Crest,"" a magical symbol that gives its wielder the ability to banish Chaos. Bearing no allegiance to a specific domain, Theo hopes to attain the rank of Lord so that he can liberate his home town of Sistina from its tyrannical ruler and the Chaos spreading within it. Impressed by his noble goal, Siluca enters into a magical contract with Theo, and the two embark on a journey to restore balance to their war-torn land.

[Written by MAL Rewrite]"
34280,,No,"Keita Amano is a typical high school gamer living out an average student's life. One day, however, he has an unexpected meeting with the cutest girl in school that makes him want to disappear without a trace! 

This girl, Karen Tendou, is an exemplary student who is proclaimed to be the school's idol. She discovers that Amano is a gamer, and this newfound knowledge incites a passionate desire within her to recruit him into the game club. Upon visiting the club, Amano is forcefully made aware of a side to gaming wildly different than the one he loves so dearly. 

Tendou's interest in Amano begins shaking up what was once an uneventful life, filling it with spontaneity, awkwardness, and a little bit of mayhem. As a result, every day becomes a comical battle for Amano's sanity as he tries to adapt to these wild, unexpected changes.

[Written by MAL Rewrite]"
34284,Yuki Yuna is a Hero: The Washio Sumi Chapter,Yes,"Three girls have been chosen by the great Shinju-sama to be heroes and fight against the destructive beings known as Vertexes—enemies that threaten the harmony and safety of the world.

Unsure of when they would be called to duty, Sumi Washio, Sonoko Nogi, and Gin Minowa spent their time idly. However, with the sudden appearance of a Vertex, they realize they have no idea how to fight together as magical girls when they are nearly bested. They manage to defeat their enemy by sheer determination, but in the aftermath of the battle, the three decide to fix their teamwork issues and improve their combat capabilities.

But as more enemies appear—and requiring even more power to defeat their nemeses—the girls may find themselves irreversibly changed by the use of their magic. What price will they have to pay to ensure victory, and is it one worth paying if humanity will be saved?

[Written by MAL Rewrite]"
34289,,No,"It's the near future. The newly established girls' private school Goryoukan Academy has another face. This school has a special unit, Fifth force, who is assembled and selected from the school's student body in order to fight an enemy called O'bli.

This is a story about love, courage and friendship about the girls called Strikers."
34290,Kirakira Pretty Cure A La Mode,Yes,"Cheerful teenager Ichika Usami has a passion for sweets that is inspired by her mother's baking. In celebration of her mother's return from overseas, she tries her hand at making a cake herself. She is interrupted when a dog-like fairy named Pekorin crashes into her kitchen. With Pekorin's help, Ichika successfully bakes her cake. Only then enters an imp named Gummy who bursts in and attempt to steal the cake's ""kirakiraru"", a magical power that gives sweets the ability to bring happiness.

Though Ichika initially offers her cake to Gummy in order to protect Pekorin, the fairy helps her realize how important the treat is and the love it represents. As the kirakiraru within Ichika's cake grows, it changes into a set of trinkets that transforms her into Cure Whip, a hero known as a Pretty Cure. Using her newfound powers, she goes on to battle kirakiraru thieves whenever they appear. Ichika fights to protect Ichigozaka's sweets and finds colorful new allies along the way.

[Written by MAL Rewrite]"
