title,top_concepts,synopsis
Sign,"animation, animations, soundtrack, soundtracks, song, gundam, music, sign, anime, tune","Music video for the song 'Sign' by Nobukazu Takemura

Animation done by Katsura Moshino"
Galaxy Angel 3 Specials,"episodes, saga, films, movies, offerings, 3d, sequels, revelations, books, ep",Specials from Galaxy Angel 3 DVDs.
Yi Nian Yong Heng: Chuan Cheng Pian,"season, seasons, sequels, sequel, episodes, episode, finale, storyline, ep, movie",Second season of .
Atama Yama,"nature, slice, offender, synopsis, insects, puns, situations, villain, incident, species","After a stingy man eats some cherry seeds, a cherry tree grows on his head and he gets into a lot of trouble."
Mai-Otome Specials,"episodes, scenes, ep, films, subtitles, comedies, classics, offerings, soundtracks, synopsis",Specials that followed on the Mai-Otome DVD.
Dai Mahou Touge Omake,"mahou, mangaka, shoujo, waifu, ovas, otaku, manga, ova, isekai, anime",Omake (extra) of Dai Mahou Touge.
Larva 2nd Season,"season, seasons, sequels, sequel, episodes, episode, finale, storyline, ep, movie",Second season of .
CLAMP in Wonderland 2,"clips, animation, animations, frames, frame, cartoon, cartoons, skits, cliches, cgi",A short animation which features clips from all of CLAMPs works between 1995 and 2006.
Prism Ark Specials,"parody, themes, cartoon, episodes, intro, cartoons, classics, adventures, masterpieces, adventure",A series of shorts parodying the main series Prism Ark.
Karaoke Senshi Mike-tarou,"children, childhood, kids, music, fights, fight, battle, teenagers, violence, child",A story about kids fighting with Karaoke.
Tentai Senshi Sunred 2nd Season,"seasons, season, episodes, sequels, episode, sequel, storyline, finale, ep, storylines",The second season of .
Gakkatsu! 2nd Season,"anime, samurai, manga, sakuga, shonen, animes, episodes, saga, shonens, seasons",2nd season of Gakkatsu!.
Ajin OVA,"manga, episodes, chapters, anime, versions, animes, episode, shonen, adventures, synopsis",New episodes bundled with the limited edition eighth and ninth manga volumes.
Future Card Buddyfight Triple D,"season, seasons, episode, episodes, finale, sequels, ep, storyline, sequel, shows",Third season of .
Sansha Sanyou Specials,"versions, version, 3d, standard, introduction, graphics, developments, performance, figure, rating","1. 
2. 
3."
Ookiku Furikabutte: Natsu no Scorebook,"ova, episodes, ovas, otaku, anime, recap, manga, cartoon, episode, sakuga",Ookiku Furikabutte recap OVA where the TV series has been reassembled into two 90 minute episodes.
Pokemon Daisuki Club,"pokemon, soundtracks, music, songs, episodes, soundtrack, animes, anime, animations, shows",Series of musical videos featuring Pokemon.
Mashiro Witch,"3d, opening, animation, sequels, animations, mmorpg, cartoon, adventure, sequel, adventures",The 3DCG animated opening for Square Enix's  RPG mobile game expected to launch in late 2017.
7 Seeds 2nd Season,"season, seasons, sequels, sequel, episodes, episode, finale, storyline, ep, movie",Second season of .
Chocomatsu-san: Valentine's Day-hen,"episodes, shows, viewers, episode, viewing, special, storylines, subtitles, ep, viewer",Original specials aired exclusively on pay-per-view dTV channel.
